Group,Country_Name,First,Match_index,Second,Match_index,Third,Match_index
A,Qatar,Ecuador,1,Senegal,17,Netherlands,33
A,Ecuador,Qatar,1,Netherlands,18,Senegal,34
A,Senegal,Netherlands,2,Qatar,17,Ecuador,34
A,Netherlands,Senegal,2,Ecuador,18,Qatar,33
B,England,IR Iran,3,USA,19,Wales,35
B,IR Iran,England,3,Wales,20,USA,36
B,USA,Wales,4,England,19,IR Iran,36
B,Wales,USA,4,IR Iran,20,England,35
C,Argentina,Saudi Arabia,5,Mexico,21,Poland,37
C,Saudi Arabia,Argentina,5,Poland,22,Mexico,38
C,Mexico,Poland,6,Argentina,21,Saudi Arabia,38
C,Poland,Mexico,6,Saudi Arabia,22,Argentina,37
D,France,Australia,7,Denmark,23,Tunisia,39
D,Denmark,Tunisia,8,France,23,Australia,40
D,Tunisia,Denmark,8,Australia,24,France,39
D,Australia,France,7,Tunisia,24,Denmark,40
E,Spain,Costa Rica,9,Germany,25,Japan,41
E,Germany,Japan,10,Spain,25,Costa Rica,42
E,Japan,Germany,10,Costa Rica,26,Spain,41
E,Costa Rica,Spain,9,Japan,26,Germany,42
F,Belgium,Canada,11,Morocco,27,Croatia,43
F,Canada,Belgium,11,Croatia,28,Morocco,44
F,Morocco,Croatia,12,Belgium,27,Canada,44
F,Croatia,Morocco,12,Canada,28,Belgium,43
G,Brazil,Serbia,13,Switzerland,29,Cameroon,45
G,Serbia,Brazil,13,Cameroon,30,Switzerland,46
G,Switzerland,Cameroon,14,Brazil,29,Serbia,46
G,Cameroon,Switzerland,14,Serbia,30,Brazil,45
H,Portugal,Ghana,15,Uruguay,31,Korea Republic,47
H,Ghana,Portugal,15,Korea Republic,32,Uruguay,48
H,Uruguay,Korea Republic,16,Portugal,31,Ghana,48
H,Korea Republic,Uruguay,16,Ghana,32,Portugal,47
