index,home_team,away_team,home_coeff,away_coeff,mean_coeff,tvalue_home,tvalue_away,home_team_score,away_team_score,importance,home_team_result
1,Bolivia,Uruguay,1,1,1,141,178,3,1,2.5,Win
2,Brazil,Mexico,1,0.85,0.925,192,186,1,1,1,Draw
3,Ecuador,Venezuela,1,1,1,165,106,5,0,2.5,Win
4,Guinea,Sierra Leone,0.85,0.85,0.85,135,114,1,0,1,Win
5,Paraguay,Argentina,1,1,1,133,195,1,3,2.5,Lose
6,Peru,Colombia,1,1,1,130,181,0,1,2.5,Lose
7,Zimbabwe,Eswatini,0.85,0.85,0.85,150,98,2,0,1,Win
8,Guinea,Sierra Leone,0.85,0.85,0.85,135,114,4,0,1,Win
9,Faroe Islands,Norway,0.99,0.99,0.99,89,191,0,7,1,Lose
10,Sweden,Switzerland,0.99,0.99,0.99,196,197,1,2,1,Lose
11,Australia,Canada,0.85,0.85,0.85,148,154,2,1,2.5,Win
12,Bolivia,Ecuador,1,1,1,141,165,1,0,2.5,Win
13,Colombia,Argentina,1,1,1,181,195,2,1,2.5,Win
14,Congo,Guinea,0.85,0.85,0.85,93,135,0,0,2.5,Draw
15,Uruguay,Brazil,1,1,1,178,192,1,1,2.5,Draw
16,Argentina,Peru,1,1,1,195,130,2,1,2.5,Win
17,Bolivia,Venezuela,1,1,1,141,106,7,0,2.5,Win
18,Brazil,Ecuador,1,1,1,192,165,2,0,2.5,Win
19,Paraguay,Colombia,1,1,1,133,181,1,1,2.5,Draw
20,Sweden,France,0.99,0.99,0.99,196,188,1,1,2.5,Draw
21,Austria,Finland,0.99,0.99,0.99,162,153,3,0,2.5,Win
22,Denmark,Lithuania,0.99,0.99,0.99,190,116,4,0,2.5,Win
23,Argentina,Paraguay,1,1,1,195,133,0,0,2.5,Draw
24,Brazil,Bolivia,1,1,1,192,141,6,0,2.5,Win
25,Colombia,Peru,1,1,1,181,130,4,0,2.5,Win
26,Uruguay,Venezuela,1,1,1,178,106,4,0,2.5,Win
27,Iceland,USA,0.99,0.85,0.92,147,172,0,1,1,Lose
28,Argentina,Colombia,1,1,1,195,181,0,5,2.5,Lose
29,Brazil,Venezuela,1,1,1,192,106,4,0,2.5,Win
30,Ecuador,Uruguay,1,1,1,165,178,0,1,2.5,Lose
